"","x"
"1",1
"2",0.871167815025652
"3",0.758933361936569
"4",0.667479136504869
"5",0.595200495376188
"6",0.538684950084954
"7",0.489351893663668
"8",0.448759224581317
"9",0.41577153923064
"10",0.387071249593761
"11",0.3629262499456
"12",0.342870054804719
"13",0.323922214222345
"14",0.306021477805832
"15",0.289109980009532
"16",0.273133053079842
"17",0.25803905033737
"18",0.243779179224962
"19",0.2303073435819
"20",0.217579994634424
"21",0.205555990220872
"22",0.194196461796393
"23",0.183464688787301
"24",0.173325979888921
"25",0.163747560923201
"26",0.154698468893591
"27",0.146149451894709
"28",0.138072874553245
"29",0.130442628694431
"30",0.123234048945303
"31",0.11642383300193
"32",0.10998996630288
"33",0.103911650865405
"34",0.0981692380543168
"35",0.0927441650662259
"36",0.0876188949238068
"37",0.0827768597861346
"38",0.0782024073918288
"39",0.0738807504618815
"40",0.0697979188986084
"41",0.065940714626204
"42",0.0622966689269179
"43",0.058854002134939
"44",0.0556015855576948
"45",0.0525289055014721
"46",0.0496260292850719
"47",0.0468835731316311
"48",0.044292671834823
"49",0.0418449501013761
"50",0.0395324954772771
"51",0.0373478327701372
"52",0.0352838998850424
"53",0.0333340249957728
"54",0.0314919049775971
"55",0.0297515850319237
"56",0.0281074394369434
"57",0.0265541533620389
"58",0.0250867056871744
"59",0.0237003527717288
"60",0.0223906131203017
"61",0.0211532528959254
"62",0.0199842722338523
"63",0.0188798923116761
"64",0.017836543133989
"65",0.01685085199209
"66",0.0159196325614367
"67",0.0150398746016001
"68",0.0142087342254237
"69",0.0134235247059339
"70",0.0126817077912825
"71",0.0119808854996469
"72",0.0113187923675643
"73",0.0106932881266421
"74",0.0101023507849707
"75",0.0095440700908755
"76",0.00901664135787661
"77",0.0085183596308976
"78",0.00804761417486323
"79",0.00760288326787105
"80",0.00718272928210502
"81",0.00678579403658995
"82",0.00641079440676413
"83",0.00605651817667771
"84",0.00572182012040884
"85",0.00540561830003034
"86",0.00510689056815981
"87",0.00482467126378739
"88",0.00455804809070023
"89",0.00430615916841283
"90",0.00406819024607027
"91",0.00384337207031791
"92",0.00363097789862914
"93",0.00343032115005268
"94",0.00324075318578539
"95",0.00306166121239607
"96",0.00289246630092222
"97",0.00273262151543642
"98",0.00258161014503272
"99",0.00243894403351773
"100",0.00230416200140721
"101",0.00217682835512686
"102",0.00205653147859845
"103",0.00194288250265824
"104",0.00183551404800676
"105",0.00173407903762608
"106",0.00163824957482599
"107",0.00154771588329196
"108",0.00146218530570878
"109",0.0013813813577226
"110",0.00130504283418342
"111",0.00123292296477878
"112",0.00116478861632925
"113",0.00110041953916694
"114",0.00103960765516108
"115",0.000982156385089025
"116",0.000927880013178312
"117",0.000876603086765806
"118",0.000828159849133066
"119",0.000782393703684659
"120",0.000739156707737278
"121",0.000698309094283326
"122",0.000659718820183016
"123",0.000623261139324479
"124",0.000588818199372097
"125",0.00055627866079951
"126",0.000525537336975799
"127",0.000496494854141379
"128",0.00046905733017447
"129",0.000443136071109715
"130",0.000418647284427925
"131",0.000395511808190136
"132",0.000373654855140382
"133",0.000353005770949981
"134",0.000333497805821829
"135",0.000315067898716402
"136",0.000297656473501966
"137",0.000281207246370016
"138",0.000265667043893419
"139",0.000250985631139103
"140",0.000237115549279668
"141",0.000224011962178975
"142",0.000211632511455786
"143",0.000199937179556955
"144",0.000188888160397518
"145",0.000178449737149537
"146",0.000168588166784631
"147",0.000159271570996967
"148",0.000150469833154116
"149",0.000142154500942663
"150",0.000134298694393845
"151",0.000126877018991935
"152",0.000119865483584461
"153",0.000113241422828904
"154",0.000106983423925193
"155",0.000101071257397131
"156",9.5485811699018e-05
"157",9.02090314360638e-05
"158",8.52238589989013e-05
"159",8.05141794235134e-05
"160",7.60647682983387e-05
"161",7.18612425501569e-05
"162",6.78900139496681e-05
"163",6.41382451864668e-05
"164",6.05938083714217e-05
"165",5.72452458323148e-05
"166",5.40817330760104e-05
"167",5.10930437974253e-05
"168",4.8269516822189e-05
"169",4.5602024876134e-05
"170",4.308194508066e-05
"171",4.07011310785977e-05
"172",3.8451886700465e-05
"173",3.63269410859905e-05
"174",3.43194251804832e-05
"175",3.24228495300699e-05
"176",3.06310833040226e-05
"177",2.89383344763637e-05
"178",2.73391311026837e-05
"179",2.58283036316486e-05
"180",2.44009681940165e-05
"181",2.30525108151442e-05
"182",2.1778572499949e-05
"183",2.05750351421131e-05
"184",1.94380082119791e-05
"185",1.8363816180105e-05
"186",1.73489866358253e-05
"187",1.63902390624083e-05
"188",1.54844742325273e-05
"189",1.46287641897622e-05
"190",1.38203427837499e-05
"191",1.30565967283838e-05
"192",1.23350571541604e-05
"193",1.1653391627363e-05
"194",1.10093966102857e-05
"195",1.04009903381234e-05
"196",9.82620608950243e-06
"197",9.2831858288982e-06
"198",8.77017420038869e-06
"199",8.28551285332745e-06
"200",7.82763508159416e-06
"201",7.39506075909312e-06
"202",6.98639155512875e-06
"203",6.60030641419097e-06
"204",6.2355572855389e-06
"205",5.8909650887781e-06
"206",5.56541590239007e-06
"207",5.25785736289278e-06
"208",4.96729526299258e-06
"209",4.69279033773053e-06
"210",4.43345522823412e-06
"211",4.18845161325959e-06
"212",3.95698749925223e-06
"213",3.7383146601646e-06
"214",3.53172621875669e-06
"215",3.33655436155935e-06
"216",3.15216818011443e-06
