"","x"
"1",128992879.574495
"2",128992879.574495
"3",128992879.574495
"4",128992879.574495
"5",128992879.574495
"6",128992879.574495
"7",128992879.574495
"8",128992879.574495
"9",128992879.574495
"10",128992879.574495
"11",128992879.574495
"12",128992879.574495
"13",128992879.574495
"14",128992879.574495
"15",128992879.574495
"16",128992879.574495
"17",128992879.574495
"18",128992879.574495
"19",128992879.574495
"20",128992879.574495
"21",128992879.574495
"22",128992879.574495
"23",128992879.574495
"24",128992879.574495
"25",128992879.574495
"26",128992879.574495
"27",128992879.574495
"28",128992879.574495
"29",128992879.574495
"30",128992879.574495
"31",128992879.574495
"32",128992879.574495
"33",128992879.574495
"34",128992879.574495
"35",128992879.574495
"36",128992879.574495
"37",128992879.574495
"38",128992879.574495
"39",128992879.574495
"40",128992879.574494
"41",128992879.574494
"42",128992879.574494
"43",128992879.574494
"44",128992879.574494
"45",128992879.574494
"46",128992879.574494
"47",128992879.574494
"48",128992879.574494
"49",128992879.574494
"50",128992879.574494
"51",128992879.574493
"52",128992879.574493
"53",128992879.574493
"54",128992879.574493
"55",128992879.574492
"56",128992879.574492
"57",128992879.574492
"58",128992879.574491
"59",128992879.574491
"60",128992879.57449
"61",128992879.574489
"62",128992879.574489
"63",128992879.574488
"64",128992879.574487
"65",128992879.574486
"66",128992879.574485
"67",128992879.574483
"68",128992879.574482
"69",128992879.57448
"70",128992879.574478
"71",128992879.574475
"72",128992879.574473
"73",128992879.57447
"74",128992879.574466
"75",128992879.574462
"76",128992879.574458
"77",128992879.574453
"78",128992879.574447
"79",128992879.57444
"80",128992879.574433
"81",128992879.574424
"82",128992879.574414
"83",128992879.574403
"84",128992879.574391
"85",128992879.574376
"86",128992879.57436
"87",128992879.574342
"88",128992879.57432
"89",128992879.574296
"90",128992879.574269
"91",128992879.574238
"92",128992879.574202
"93",128992879.574162
"94",128992879.574116
"95",128992879.574064
"96",128992879.574005
"97",128992879.573937
"98",128992879.57386
"99",128992879.573773
"100",128992879.573674
"101",128992879.57356
"102",128992879.573432
"103",128992879.573285
"104",128992879.573118
"105",128992879.572929
"106",128992879.572713
"107",128992879.572467
"108",128992879.572188
"109",128992879.57187
"110",128992879.571508
"111",128992879.571096
"112",128992879.570628
"113",128992879.570094
"114",128992879.569488
"115",128992879.568798
"116",128992879.568013
"117",128992879.567119
"118",128992879.566103
"119",128992879.564946
"120",128992879.56363
"121",128992879.562132
"122",128992879.560429
"123",128992879.55849
"124",128992879.556284
"125",128992879.553774
"126",128992879.550918
"127",128992879.547668
"128",128992879.543971
"129",128992879.539764
"130",128992879.534977
"131",128992879.52953
"132",128992879.523332
"133",128992879.516281
"134",128992879.508257
"135",128992879.499127
"136",128992879.48874
"137",128992879.47692
"138",128992879.463471
"139",128992879.448169
"140",128992879.430757
"141",128992879.410946
"142",128992879.388404
"143",128992879.362755
"144",128992879.333571
"145",128992879.300365
"146",128992879.262582
"147",128992879.219591
"148",128992879.170675
"149",128992879.115016
"150",128992879.051686
"151",128992878.979628
"152",128992878.897638
"153",128992878.804347
"154",128992878.698197
"155",128992878.577417
"156",128992878.439991
"157",128992878.283622
"158",128992878.105702
"159",128992877.903258
"160",128992877.672912
"161",128992877.410817
"162",128992877.112598
"163",128992876.773276
"164",128992876.387185
"165",128992875.947879
"166",128992875.448023
"167",128992874.879273
"168",128992874.232131
"169",128992873.495795
"170",128992872.657969
"171",128992871.704667
"172",128992870.61997
"173",128992869.385771
"174",128992867.981462
"175",128992866.383597
"176",128992864.5655
"177",128992862.496814
"178",128992860.143002
"179",128992857.464765
"180",128992854.417387
"181",128992850.949989
"182",128992847.004682
"183",128992842.515593
"184",128992837.407775
"185",128992831.595948
"186",128992824.983078
"187",128992817.458758
"188",128992808.897363
"189",128992799.155954
"190",128992788.071888
"191",128992775.46011
"192",128992761.110053
"193",128992744.782131
"194",128992726.203737
"195",128992705.064688
"196",128992681.01205
"197",128992653.644243
"198",128992622.504338
"199",128992587.07243
"200",128992546.756951
"201",128992500.884801
"202",128992448.690105
"203",128992389.301429
"204",128992321.727228
"205",128992244.839294
"206",128992157.353917
"207",128992057.810454
"208",128991944.546943
"209",128991815.672355
"210",128991669.035017
"211",128991502.186695
"212",128991312.341716
"213",128991096.330456
"214",128990850.546423
"215",128990570.886045
"216",128990252.680154
"217",128989890.616034
"218",128989478.648716
"219",128989009.900056
"220",128988476.543899
"221",128987869.67541
"222",128987179.162404
"223",128986393.476182
"224",128985499.499046
"225",128984482.305288
"226",128983324.911995
"227",128982007.995506
"228",128980509.56878
"229",128978804.614314
"230",128976864.666445
"231",128974657.336098
"232",128972145.770019
"233",128969288.035482
"234",128966036.420185
"235",128962336.635651
"236",128958126.910837
"237",128953336.960816
"238",128947886.813309
"239",128941685.473479
"240",128934629.404695
"241",128926600.799901
"242",128917465.61473
"243",128907071.329513
"244",128895244.402839
"245",128881787.374132
"246",128866475.566881
"247",128849053.337471
"248",128829229.807
"249",128806674.004807
"250",128781009.342635
"251",128751807.327175
"252",128718580.406
"253",128680773.827469
"254",128637756.378676
"255",128588809.846812
"256",128533117.027999
"257",128469748.083372
"258",128397645.014633
"259",128315603.999871
"260",128222255.294734
"261",128116040.363386
"262",127995185.857426
"263",127857674.008334
"264",127701208.939113
"265",127523178.332675
"266",127320609.81699
"267",127090121.338811
"268",126827864.697432
"269",126529461.295704
"270",126189929.035644
"271",125803599.138085
"272",125364021.497593
"273",124863856.992485
"274",124294754.951968
"275",123647213.734603
"276",122910422.090339
"277",122072078.65752
"278",121118186.581216
"279",120032819.823852
"280",118797857.2665
"281",117392680.161421
"282",115793827.884579
"283",113974606.240613
"284",111904641.7806
"285",109549374.691553
"286",106869481.791018
"287",103820219.993179
"288",100350679.285087
"289",96938160.3476654
"290",93627775.3741092
"291",89617483.5299121
"292",84759311.4741613
"293",78874033.8873535
"294",71744738.6916776
"295",63109916.6056263
"296",52660506.1789691
"297",40069471.8757816
"298",25577438.6485678
"299",10878243.6
"300",0
