"","x"
"1",1
"2",0.847069320802517
"3",0.732909169554714
"4",0.644236578673595
"5",0.573294387565324
"6",0.515221347538737
"7",0.469992561313311
"8",0.433398156951166
"9",0.402963517707246
"10",0.378168832012981
"11",0.357369037373928
"12",0.340063218681225
"13",0.324906936132298
"14",0.311777843895277
"15",0.300455138900777
"16",0.290687586177381
"17",0.282233434928832
"18",0.274878471860906
"19",0.268218764784684
"20",0.262072762634132
"21",0.256427679947152
"22",0.251258116174134
"23",0.246531124330145
"24",0.242075700009931
"25",0.237895496279912
"26",0.233932457343747
"27",0.230062557767208
"28",0.226282919068442
"29",0.222590773888284
"30",0.218983460829466
"31",0.215481861250316
"32",0.212081329782447
"33",0.208777495091926
"34",0.20556623960509
"35",0.202443681033323
"36",0.199387489944099
"37",0.196395820426911
"38",0.193466890522955
"39",0.190598979563909
"40",0.187790425640132
"41",0.185039623191107
"42",0.182345020711339
"43",0.179705118565407
"44",0.177118466906205
"45",0.174569047168161
"46",0.172070729574292
"47",0.169622177514061
"48",0.167222097850175
"49",0.164869239221902
"50",0.162562390425739
"51",0.1603003788694
"52",0.158069842590138
"53",0.155882399994689
"54",0.153736966652145
"55",0.15162106123724
"56",0.149545550821048
"57",0.147509431507302
"58",0.145511730379567
"59",0.143551504355036
"60",0.141627839087835
"61",0.139739847919397
"62",0.1378866708736
"63",0.136067473694464
"64",0.134272277953289
"65",0.13250076698895
"66",0.130752628318167
"67",0.129027553580384
"68",0.127325238483377
"69",0.125653962621006
"70",0.124012990921322
"71",0.122401609898861
"72",0.120819126895249
"73",0.119264869350978
"74",0.117738184106899
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
