"","x"
"1",1
"2",0.910477544544082
"3",0.828969359119021
"4",0.771306170465165
"5",0.736379173404278
"6",0.715125253455712
"7",0.694484779853125
"8",0.674440046854691
"9",0.659870159444527
"10",0.645615024428048
"11",0.631667842228391
"12",0.61802196015954
"13",0.604670869253051
"14",0.59160820115333
"15",0.578827725079982
"16",0.566323344855784
"17",0.554089095998859
"18",0.54211914287767
"19",0.530407775927474
"20",0.51894940892691
"21",0.507738576333415
"22",0.496769930676214
"23",0.486038240005617
"24",0.475538385397425
"25",0.465265358511249
"26",0.455214259201574
"27",0.445380293180429
"28",0.435758769730557
"29",0.426345099467982
"30",0.417134792152909
"31",0.408123454547923
"32",0.399306788322449
"33",0.390680588002488
"34",0.38224073896464
"35",0.373983215473463
"36",0.365904078761236
"37",0.357999475149198
"38",0.350265634209373
"39",0.342698866966117
"40",0.335295564136499
"41",0.328052194408709
"42",0.320965302757653
"43",0.314031508796933
"44",0.307247505166436
"45",0.300610055954744
"46",0.294115995155642
"47",0.287762225157951
"48",0.281545715268002
"49",0.275463500264016
"50",0.269512678981718
"51",0.263690412930513
"52",0.257993924939542
"53",0.252420497833003
"54",0.246967473134076
"55",0.241632249796853
"56",0.236412282965668
"57",0.231305082761211
"58",0.22630821309289
"59",0.221419290496825
"60",0.216635982998965
"61",0.211956009002751
"62",0.207377136200817
"63",0.202897180510198
"64",0.198514005030539
"65",0.194225519024816
"66",0.190029676922067
"67",0.18592447734168
"68",0.181907962138742
"69",0.177978215470029
"70",0.17413336288016
"71",0.170371570407502
"72",0.166691043709382
"73",0.163090027206203
"74",0.159566803244048
"75",0.156119691275375
"76",0.152747047057405
"77",0.149447261867839
"78",0.146218761737506
"79",0.143060006699598
"80",0.139969490055115
"81",0.136945737654183
"82",0.133987307192901
"83",0.13109278752537
"84",0.12826079799059
"85",0.125489987753897
"86",0.122779035162626
"87",0.120126647115697
"88",0.11753155844681
"89",0.114992531320978
"90",0.112508354644089
"91",0.110077843485222
"92",0.107699838511447
"93",0.105373205434834
"94",0.103096834471405
"95",0.100869639811779
"96",0.0986905591032481
"97",0.096558552943047
"98",0.094472604382564
"99",0.0924317184422671
"100",0.0904349216371064
"101",0.0884812615121708
"102",0.0865698061883748
"103",0.08469964391796
"104",0.0828698826495999
"105",0.0810796496028984
"106",0.0793280908520813
"107",0.0776143709186813
"108",0.0759376723730216
"109",0.0742971954443091
"110",0.0726921576391507
"111",0.0711217933683106
"112",0.0695853535815306
"113",0.0680821054102401
"114",0.0666113318179836
"115",0.0651723312584005
"116",0.0637644173405939
"117",0.0623869185017277
"118",0.061039177686697
"119",0.0597205520347185
"120",0.0584304125726913
"121",0.0571681439151823
"122",0.0559331439708926
"123",0.0547248236554651
"124",0.0535426066104962
"125",0.052385928928618
"126",0.0512542388845195
"127",0.0501469966717776
"128",0.049063674145375
"129",0.0480037545697791
"130",0.0469667323724636
"131",0.0459521129027547
"132",0.0449594121958873
"133",0.0439881567421578
"134",0.0430378832610636
"135",0.0421081384803231
"136",0.0411984789196682
"137",0.040308470679308
"138",0.0394376892329626
"139",0.0385857192253673
"140",0.0377521542741524
"141",0.0369365967760015
"142",0.0361386577169988
"143",0.0353579564870723
"144",0.0345941206984464
"145",0.033846786008016
"146",0.033115595943558
"147",0.0324002017336972
"148",0.031700262141545
"149",0.0310154433019328
"150",0.030345418562161
"151",0.0296898683261883
"152",0.0290484799021875
"153",0.0284209473533938
"154",0.0278069713521757
"155",0.0272062590372586
"156",0.0266185238740321
"157",0.0260434855178756
"158",0.0254808696804364
"159",0.0249304079987964
"160",0.0243918379074652
"161",0.023864902513139
"162",0.0233493504721643
"163",0.0228449358706494
"164",0.0223514181071654
"165",0.0218685617779814
"166",0.0213961365647793
"167",0.0209339171247932
"168",0.0204816829833238
"169",0.0200392184285729
"170",0.0196063124087515
"171",0.0191827584314096
"172",0.0187683544649407
"173",0.0183629028422153
"174",0.0179662101662946
"175",0.0175780872181822
"176",0.0171983488665684
"177",0.0168268139795236
"178",0.0164633053381006
"179",0.0161076495518021
"180",0.0157596769758754
"181",0.015419221630393
"182",0.0150861211210818
"183",0.0147602165618621
"184",0.0144413524990608
"185",0.014129376837261
"186",0.0138241407667537
"187",0.0135254986925572
"188",0.0132333081649693
"189",0.01294742981162
"190",0.0126677272709924
"191",0.0123940671273787
"192",0.0121263188472431
"193",0.0118643547169575
"194",0.0116080497818836
"195",0.0113572817867707
"196",0.0111119311174407
"197",0.0108718807437334
"198",0.0106370161636841
"199",0.0104072253489071
"200",0.0101823986911591
"201",0.00996242895005685
"202",0.00974721120192487
"203",0.00953664278974733
"204",0.0093306232742017
"205",0.00912905438575005
"206",0.00893183997776532
"207",0.00873888598067017
"208",0.00855010035706668
"209",0.00836539305783522
"210",0.00818467597918184
"211",0.00800786292061349
"212",0.00783486954382116
"213",0.00766561333245121
"214",0.00750001355274576
"215",0.00733799121503342
"216",0.00717946903605189
