"","x"
"1",1
"2",0.718198300768851
"3",0.529910596222194
"4",0.479240213200652
"5",0.434704468302701
"6",0.400298248795207
"7",0.368615230973262
"8",0.341713006513305
"9",0.316774156379967
"10",0.293655389866856
"11",0.27222387388957
"12",0.252356469769018
"13",0.233939025715707
"14",0.216865720949838
"15",0.201038457688743
"16",0.186366297508204
"17",0.172764938839168
"18",0.160156232597729
"19",0.148467733165328
"20",0.137632282139257
"21",0.12758762246182
"22",0.118276040711067
"23",0.109644035497818
"24",0.101642010063682
"25",0.0942239873138497
"26",0.0873473456473169
"27",0.0809725740667144
"28",0.075063045160674
"29",0.0695848046543645
"30",0.0645063763190204
"31",0.059798581119536
"32",0.0554343695610033
"33",0.0513886662709119
"34",0.0476382259240284
"35",0.0441614996821458
"36",0.040938511381308
"37",0.0379507427551214
"38",0.0351810270346811
"39",0.0326134503137738
"40",0.0302332601126303
"41",0.0280267806148657
"42",0.0259813340905853
"43",0.0240851680541776
"44",0.022327387738268
"45",0.0206978934958476
"46",0.019187322770912
"47",0.01778699630419
"48",0.0164888682648783
"49",0.0152854800218553
"50",0.0141699172887571
"51",0.0131357703966858
"52",0.0121770974662888
"53",0.0112883902676092
"54",0.0104645425715468
"55",0.00970082081108881
"56",0.00899283688373811
"57",0.00833652293887116
"58",0.00772810800516116
"59",0.00716409632377537
"60",0.00664124726285597
"61",0.00615655669787932
"62",0.00570723975091134
"63",0.005290714789584
"64",0.00490458859385627
