"","x"
"1",1
"2",0.515808799227265
"3",0.266058717360273
"4",0.207797797638386
"5",0.164719923132628
"6",0.132268900276325
"7",0.106210964937264
"8",0.0852866323779656
"9",0.0684845455143987
"10",0.0549925919636319
"11",0.0441586513886215
"12",0.0354590759015575
"13",0.0284733800569915
"14",0.0228639171003966
"15",0.0183595591435744
"16",0.0147425924642003
"17",0.0118381945266677
"18",0.00950598410635968
"19",0.00763323610089374
"20",0.00612943307290049
"21",0.00492189017850076
"22",0.00395224201669255
"23",0.00317362159495969
"24",0.00254839505917281
"25",0.00204634269817504
"26",0.00164319830369376
"27",0.00131947628697286
"28",0.00105952986195887
"29",0.000850794773249055
"30",0.00068318201513419
"31",0.000548590189406563
"32",0.000440513932226415
"33",0.000353729483743585
"34",0.000284042202790516
"35",0.000228083823017062
"36",0.000183149651041276
"37",0.000147067837748546
"38",0.000118094404095578
"39",9.48289475944756e-05
"40",7.61469552325089e-05
"41",6.11454512389791e-05
"42",4.90993526373095e-05
"43",3.94264230707985e-05
"44",3.16591309795886e-05
"45",2.54220519214463e-05
"46",2.04137227996998e-05
"47",1.63920709402468e-05
"48",1.31627137463645e-05
"49",1.05695634066189e-05
"50",8.48728254364659e-06
"51",6.81522615499701e-06
"52",5.47257703568793e-06
"53",4.39443955789784e-06
"54",3.52870300446851e-06
"55",2.83352284852033e-06
"56",2.27529823930196e-06
"57",1.82704793803729e-06
"58",1.46710620622218e-06
"59",1.17807561341158e-06
"60",9.45986149488682e-07
"61",7.59619997932832e-07
"62",6.09969333664519e-07
"63",4.89800938658326e-07
"64",3.93306591446652e-07
