"","x"
"1",1
"2",0.718198300768851
"3",0.515808799227265
"4",0.464846265397295
"5",0.42359586693327
"6",0.386965504861686
"7",0.353502745522417
"8",0.322933671146096
"9",0.295008050943926
"10",0.269497292781097
"11",0.246192571978808
"12",0.224903121927732
"13",0.205454672520315
"14",0.187688023619316
"15",0.171457741885338
"16",0.156630970295931
"17",0.143086340611272
"18",0.130712979884136
"19",0.119409602881721
"20",0.109083682990084
"21",0.0996506948144507
"22",0.0910334222754972
"23",0.0831613265378582
"24",0.0759699685968826
"25",0.0694004817970761
"26",0.0633990899643986
"27",0.0579166672079681
"28",0.0529083357878187
"29",0.0483330987569577
"30",0.0441535043706227
"31",0.0403353395156762
"32",0.0368473496506281
"33",0.0336609829637846
"34",0.0307501566552666
"35",0.0280910434297407
"36",0.0256618764521458
"37",0.0234427711698309
"38",0.0214155625425865
"39",0.0195636563481732
"40",0.0178718933461736
"41",0.0163264251882461
"42",0.0149146010590123
"43",0.0136248641196504
"44",0.012446656906506
"45",0.0113703349103381
"46",0.0103870876287813
"47",0.00948886644577932
"48",0.00866831874762966
"49",0.00791872773632832
"50",0.00723395744754338
"51",0.00660840252314726
"52",0.00603694232715864
"53",0.0055148990294984
"54",0.00503799931444386
"55",0.00460233940033629
"56",0.00420435308420164
"57",0.00384078254970596
"58",0.00350865169948661
"59",0.00320524179356436
"60",0.00292806919441874
"61",0.00267486503655309
"62",0.00244355665412971
"63",0.00223225061464633
"64",0.00203921721977165
