"","x"
"1",1
"2",0.515808799227265
"3",0.266058717360273
"4",0.207797797638386
"5",0.162294718743958
"6",0.128426252253816
"7",0.101625625255134
"8",0.0804178859637322
"9",0.0636358828458883
"10",0.0503560313361373
"11",0.0398474850748439
"12",0.0315319143439015
"13",0.0249516781378715
"14",0.0197446382451038
"15",0.0156242292512704
"16",0.0123636876333649
"17",0.00978357200455125
"18",0.00774188769618636
"19",0.00612627219102384
"20",0.00484781133895805
"21",0.00383614603552289
"22",0.00303560006298037
"23",0.00240211599272715
"24",0.00190083051877736
"25",0.00150415578267449
"26",0.00119026109703266
"27",0.000941871510536203
"28",0.000745317094351282
"29",0.000589780628162323
"30",0.000466702282816018
"31",0.00036930853674247
"32",0.000292239400432997
"33",0.000231253433561955
"34",0.000182994320597967
"35",0.000144806158573815
"36",0.000114587291520225
"37",9.06746474546379e-05
"38",7.17522125005606e-05
"39",5.67786050814391e-05
"40",4.49297642908061e-05
"41",3.55535983374714e-05
"42",2.81340971780016e-05
"43",2.22629343029681e-05
"44",1.76169948032247e-05
"45",1.39405929907213e-05
"46",1.10314009343622e-05
"47",8.72931349876182e-06
"48",6.90763708191438e-06
"49",5.46611713076941e-06
"50",4.325420709423e-06
"51",3.42277047233196e-06
"52",2.70848976164224e-06
"53",2.14326869073486e-06
"54",1.69600075501082e-06
"55",1.34207090946261e-06
"56",1.06200089870497e-06
"57",8.40377286250676e-07
"58",6.65003187951394e-07
"59",5.26227025909413e-07
"60",4.16411361350806e-07
"61",3.29512574087902e-07
"62",2.60748256555284e-07
"63",2.07567800554463e-07
"64",1.65233671726901e-07
