"","x"
"1",1
"2",0.515808799227265
"3",0.266058717360273
"4",0.223372436239839
"5",0.187534713264657
"6",0.157446770386186
"7",0.132186116764721
"8",0.110978265368532
"9",0.0931729873427629
"10",0.0782243761113625
"11",0.0656741099810533
"12",0.0551374000818268
"13",0.0462911928103859
"14",0.0388642650656032
"15",0.0326289085977189
"16",0.0273939485149446
"17",0.0229988818961569
"18",0.0193089568006163
"19",0.0162110407980472
"20",0.0136101523489639
"21",0.0114265486879979
"22",0.00959328092525919
"23",0.00805414140558544
"24",0.00676194039208887
"25",0.00567705923743207
"26",0.00476623568332828
"27",0.00400154404577034
"28",0.00335953901865352
"29",0.00282053684496747
"30",0.00236801181639722
"31",0.001988089598121
"32",0.00166912184423573
"33",0.00140132906159661
"34",0.0011765007723414
"35",0.000987743782136983
"36",0.000829270836098662
"37",0.000696223182611139
"38",0.000584521604890388
"39",0.000490741352941223
"40",0.000412007141347227
"41",0.00034590499354442
"42",0.000290408229740193
"43",0.000243815329280588
"44",0.000204697762337464
"45",0.000171856191444567
"46",0.000144283700029613
"47",0.000121134920535872
"48",0.000101700115607103
"49",8.53834176696811e-05
"50",7.1684559741504e-05
"51",6.01835373375779e-05
"52",5.05277312091314e-05
"53",4.24210961017762e-05
"54",3.56150840620153e-05
"55",2.99010240023315e-05
"56",2.51037238837114e-05
"57",2.10760993596902e-05
"58",1.76946641971216e-05
"59",1.48557442107969e-05
"60",1.24722986318398e-05
"61",1.04712514536119e-05
"62",8.79125093467998e-06
"63",7.38078856561627e-06
"64",6.19661982749613e-06
