"","x"
"1",1
"2",0.89121617478862
"3",0.813962354027079
"4",0.763648774664492
"5",0.69278666451902
"6",0.670429709603356
"7",0.6392758366342
"8",0.588063969572976
"9",0.563031421312844
"10",0.519726289655721
"11",0.509649847526086
"12",0.471693731446869
"13",0.4551289599416
"14",0.422295011635878
"15",0.407914079494316
"16",0.40221291107564
"17",0.373714360411837
"18",0.34727757865393
"19",0.316358771119861
"20",0.266035416263081
"21",0.219287129857693
"22",0.184405011646492
"23",0.15508530114489
"24",0.12533480802546
"25",0.109727711397691
"26",0.0999845097429447
"27",0.0911064494210111
"28",0.0830167107629285
"29",0.0756452952528994
"30",0.068928419848376
"31",0.0628079650811051
"32",0.0528308459238977
"33",0.0444386038845618
"34",0.0373794793680506
"35",0.0314417050872276
"36",0.0264471532376977
"37",0.0240987952531323
"38",0.0224025585888228
"39",0.0212464219072238
"40",0.0197537158645788
"41",0.0183658826019002
"42",0.0170755540911479
"43",0.0158758799585024
"44",0.0136256506295291
"45",0.0116943662690367
"46",0.0100368199767286
"47",0.00861421242739625
"48",0.00724684763524693
"49",0.0066042916236003
"50",0.00614029509482075
"51",0.00570889748671122
"52",0.00530780850276531
"53",0.00493489875542634
"54",0.0045881884611362
"55",0.00426583692963416
"56",0.0037351631987124
"57",0.00327050572985966
"58",0.00280733063607587
"59",0.00240975125904712
"60",0.00206847781157555
"61",0.00188532916674724
"62",0.00175311092259603
"63",0.00163016515159951
"64",0.00154646360575261
"65",0.00143820129528652
"66",0.00133751803668034
"67",0.00124388324799056
"68",0.00108943650051939
"69",0.000935272866270079
"70",0.000802924570605096
"71",0.000689304575521826
"72",0.000580044996407465
"73",0.000550335522586555
"74",0.000511901097009238
"75",0.000476150861364846
"76",0.000442897356741538
"77",0.000411966216014753
"78",0.000383195249540755
"79",0.000356433594703656
"80",0.000312233484461599
"81",0.000268098529076287
"82",0.000230202155982116
"83",0.000197662526539769
"84",0.00016972245212647
"85",0.000154743324216249
"86",0.000143936333691227
"87",0.000133884083603631
"88",0.000129616187676505
"89",0.000120591017644826
"90",0.00011219426984621
"91",0.000104382187265373
"92",9.14585771249217e-05
"93",7.85482653203021e-05
"94",6.74603758202066e-05
"95",5.79376551123817e-05
"96",4.87738661886719e-05
"97",4.44792042813592e-05
"98",4.13821190429402e-05
"99",3.85006837274236e-05
"100",3.58198826391898e-05
"101",3.33257456249125e-05
"102",3.10052752724904e-05
"103",2.88463791791133e-05
"104",2.47744182833302e-05
"105",2.12772562360901e-05
"106",1.82737543121589e-05
"107",1.53834608227945e-05
"108",1.29503145792538e-05
"109",1.18100067247136e-05
"110",1.09876764226387e-05
"111",1.02226049470381e-05
"112",9.51080536808457e-06
"113",8.84856836571726e-06
"114",8.23244289968483e-06
"115",7.65921822553241e-06
"116",6.57804138482794e-06
"117",5.64948369224735e-06
"118",4.8520013970395e-06
"119",4.08457792134358e-06
"120",3.43853503539946e-06
"121",3.13576335483665e-06
"122",2.91742027621485e-06
"123",2.71428041753901e-06
"124",2.52528517920439e-06
"125",2.34944967185495e-06
"126",2.18585758394163e-06
"127",2.03365640665239e-06
"128",1.74658504452652e-06
"129",1.50003673569679e-06
"130",1.28829123751593e-06
"131",1.08452688167582e-06
"132",9.12991195488848e-07
"133",8.32600018504636e-07
"134",7.74626112080712e-07
"135",7.20688926472729e-07
"136",6.70507384969611e-07
"137",6.23819982220578e-07
"138",5.80383421482107e-07
"139",5.39971346753318e-07
"140",4.63748878929181e-07
"141",3.98285990545943e-07
"142",3.42063857127701e-07
"143",2.87960856599493e-07
"144",2.42415131577486e-07
"145",2.21069867962033e-07
"146",2.05676781781951e-07
"147",1.91355515584989e-07
"148",1.78031438588029e-07
"149",1.65635116546437e-07
"150",1.54101949919291e-07
"151",1.43371837229154e-07
"152",1.23133438810804e-07
"153",1.05751896930361e-07
"154",9.08239371236376e-08
"155",7.64586441650788e-08
"156",6.43654575291549e-08
"157",5.86979166881662e-08
"158",5.46107830661051e-08
"159",5.080823639682e-08
"160",4.72704609020223e-08
"161",4.39790205752836e-08
"162",4.09167631085753e-08
"163",3.80677305083998e-08
"164",3.26940817374771e-08
"165",2.80789783467911e-08
"166",2.41153439124056e-08
"167",2.03011073678422e-08
"168",1.70901547934651e-08
"169",1.5585323568939e-08
"170",1.45001181040208e-08
"171",1.34904754527894e-08
"172",1.25511341795104e-08
"173",1.1677199202012e-08
"174",1.08641162825006e-08
"175",1.01076482945807e-08
"176",8.68085055513814e-09
"177",7.45545988190406e-09
"178",6.40304561144428e-09
"179",5.3902990938583e-09
"180",4.53773502242722e-09
"181",4.13817601123645e-09
"182",3.85003497891696e-09
"183",3.58195719530433e-09
"184",3.33254565718302e-09
"185",3.10050063461627e-09
"186",2.88461289781152e-09
"187",2.68375741559893e-09
"188",2.30491765958548e-09
"189",1.97955500247156e-09
"190",1.70012060583323e-09
"191",1.43121869141357e-09
"192",1.20484801820731e-09
"193",1.09875811202928e-09
"194",1.02225162805908e-09
"195",9.51072287547845e-10
"196",8.84849161706804e-10
"197",8.23237149504103e-10
"198",7.65915179279114e-10
"199",7.12584535578266e-10
"200",6.11995954051355e-10
"201",5.25606477652911e-10
"202",4.51411757744264e-10
"203",3.80013596088853e-10
"204",3.19908222891691e-10
"205",2.91739497177506e-10
"206",2.71425687504636e-10
"207",2.52526327597458e-10
"208",2.34942929374616e-10
"209",2.18583862475976e-10
"210",2.0336387675976e-10
"211",1.89203658048198e-10
"212",1.62495630252833e-10
"213",1.39557713226344e-10
"214",1.19857717346998e-10
"215",9.69439009477214e-11
"216",7.84106367031277e-11
