"","x"
"1",1
"2",0.918357748043644
"3",0.864294975018045
"4",0.811257072588587
"5",0.758391035103751
"6",0.71222643397574
"7",0.682384063384137
"8",0.636785791378
"9",0.60020664326468
"10",0.56168189907349
"11",0.496482248343713
"12",0.43885092848288
"13",0.420217250336687
"14",0.395129026707853
"15",0.367975085537796
"16",0.342687209554623
"17",0.319137159573463
"18",0.294248264997668
"19",0.266066012883625
"20",0.235819113681574
"21",0.211111333375321
"22",0.189039167198675
"23",0.16763080537246
"24",0.148646903846583
"25",0.137192283006226
"26",0.131787821186037
"27",0.124165434242955
"28",0.116983913399542
"29",0.110217759698673
"30",0.103842949000218
"31",0.0968633537901638
"32",0.0859463161904865
"33",0.0762596893218991
"34",0.0676647990657719
"35",0.0600386006463378
"36",0.0532719171170025
"37",0.0496913522243447
"38",0.0468172876031212
"39",0.044109454067936
"40",0.0423977691694601
"41",0.039965575466334
"42",0.0376729071751674
"43",0.0355117602703936
"44",0.0321620324424196
"45",0.0309294672897561
"46",0.0277687927717007
"47",0.0246859314349517
"48",0.0219453260291594
"49",0.0203051562351584
"50",0.019554306262841
"51",0.0190269671343521
"52",0.017973494564106
"53",0.0169783499684879
"54",0.0160383038826591
"55",0.0154563621245784
"56",0.0137552676878697
"57",0.0122413920973085
"58",0.0108941304437278
"59",0.00969514555056627
"60",0.00862811839202659
"61",0.00799189256956983
"62",0.00755212324137497
"63",0.00713655307005532
"64",0.00674385045025344
"65",0.00637275705076919
"66",0.00602208378250769
"67",0.00569070698829871
"68",0.0051667075089142
"69",0.00469095782607691
"70",0.00417509716333646
"71",0.00371596526116676
"72",0.00330732370577057
"73",0.00309454274712137
"74",0.00292455109694705
"75",0.00276389755048963
"76",0.00261206914031255
"77",0.00246858107767577
"78",0.00233297520460339
"79",0.00220481853098329
"80",0.00200199873377056
"81",0.00181783619544937
"82",0.00165061464712423
"83",0.00149877569833928
"84",0.00136090431394513
"85",0.00128614613835616
"86",0.00122771055684103
"87",0.00117192997469587
"88",0.00111868376299096
"89",0.00106785677352811
"90",0.00101933908982559
"91",0.000973025789416987
"92",0.000901366034449261
"93",0.000834983755718944
"94",0.000773490286596504
"95",0.000716525584313913
"96",0.000663756121922986
"97",0.000633598604194581
"98",0.000604811282303925
"99",0.000577331901902013
"100",0.00055110103714352
"101",0.000526061962174768
"102",0.000502160528460586
"103",0.000479345047684783
"104",0.000444043055655707
"105",0.000407248014342793
"106",0.000373501945529224
"107",0.000342552200135937
"108",0.000311041049993635
"109",0.000293954719094004
"110",0.000280598993459801
"111",0.000267850080357018
"112",0.000255680409479228
"113",0.000244063663166837
"114",0.000232974719493535
"115",0.000222389597938586
"116",0.00020601142557257
"117",0.000190839445099239
"118",0.00017678482494145
"119",0.000163765275639569
"120",0.000151704568048678
"121",0.000144811926234462
"122",0.00013823244909149
"123",0.000131951908096945
"124",0.000125956721195766
"125",0.000120233923428616
"126",0.000114771138894367
"127",0.000109556553986451
"128",0.000101488118494642
"129",9.30784396015313e-05
"130",8.53656176423578e-05
"131",7.82919084877024e-05
"132",7.10898876502816e-05
"133",6.71847267590257e-05
"134",6.41322131604417e-05
"135",6.12183894058003e-05
"136",5.84369541725385e-05
"137",5.57818924363896e-05
"138",5.32474624635244e-05
"139",5.08281833936997e-05
"140",4.70848754494883e-05
"141",4.36172483073363e-05
"142",4.04049990945554e-05
"143",3.74293201700308e-05
"144",3.4672789005939e-05
"145",3.30974434616893e-05
"146",3.15936731686651e-05
"147",3.01582261313871e-05
"148",2.87879981076069e-05
"149",2.74800258951922e-05
"150",2.62314809240207e-05
"151",2.50396631390236e-05
"152",2.31955844470375e-05
"153",2.12735129786624e-05
"154",1.95107114238339e-05
"155",1.78939820915303e-05
"156",1.62479265236312e-05
"157",1.5355383725755e-05
"158",1.46577174570141e-05
"159",1.39917494011758e-05
"160",1.33560393614779e-05
"161",1.27492125759741e-05
"162",1.21699567445262e-05
"163",1.16170191908752e-05
"164",1.07614686415189e-05
"165",9.96892622966141e-06
"166",9.23475163873211e-06
"167",8.55464629433434e-06
"168",7.9246281961965e-06
"169",7.56457559943033e-06
"170",7.22088186130441e-06
"171",6.89280372303261e-06
"172",6.57963169552114e-06
"173",6.28068852505488e-06
"174",5.99532772869463e-06
"175",5.7229321962182e-06
"176",5.30145938086391e-06
"177",4.8621609514592e-06
"178",4.45926440617984e-06
"179",4.08975335097754e-06
"180",3.7135396473829e-06
"181",3.50954481382192e-06
"182",3.3500899230183e-06
"183",3.1978798071214e-06
"184",3.05258530242113e-06
"185",2.91389220064072e-06
"186",2.78150056944206e-06
"187",2.6551241038036e-06
"188",2.45958402176583e-06
"189",2.27844474443189e-06
"190",2.11064570573291e-06
"191",1.95520444637314e-06
"192",1.81121086155474e-06
"193",1.72891915551522e-06
"194",1.6503663431775e-06
"195",1.57538254926756e-06
"196",1.50380561673259e-06
"197",1.43548075606644e-06
"198",1.37026021056784e-06
"199",1.3080029368074e-06
"200",1.21167335236252e-06
"201",1.11126964040243e-06
"202",1.01918574942025e-06
"203",9.34732268439506e-07
"204",8.4874686580025e-07
"205",8.02122891892675e-07
"206",7.6567873034953e-07
"207",7.30890396016913e-07
"208",6.97682656988394e-07
"209",6.65983699491819e-07
"210",6.35724972587627e-07
"211",6.00802870688172e-07
"212",5.51018134351638e-07
"213",5.05358744435735e-07
"214",4.58871128051079e-07
"215",4.08409458386729e-07
"216",3.63497015835728e-07
